Urban_Center,District,Status,Core-Urban_Male_Population,Core-Urban_Female_Population,Total_Core-Urban_Population,Peri-Urban_Male_Population,Peri-Urban_Female_Population,Total_Peri-Urban_Population,Rural_Male_Population,Rural_Female_Population,Total_Rural_Population,Total_Male_Population,Total_Female_Population,Total_Population,OBJECTID
NAIROBI,Nairobi East/West/North/Westlands,City,1602104,1531414,3133518,,,,,,,1602104,1531414,3133518,0
MOMBASA,Mombasa/Kilindini,City,473433,441668,915101,12775,10255,23030,,,,486208,451923,938131,1
KISUMU,Kisumu East/West/Nyando,City,131062,128196,259258,62816,66237,129053,10356,11261,21617,204234,205694,409928,2
NAKURU,Nakuru/Nakuru North,Municipality,145038,141373,286411,10843,10736,21579,,,,155881,152109,307990,3
ELDORET,Eldoret East/West/Wareng,Municipality,127808,124253,252061,18788,18531,37319,,,,146596,142784,289380,4
KEHANCHA,Kuria East/West,Municipality,15143,14966,30109,,,,110795,115182,225977,125938,130148,256086,5
RUIRU,Ruiru,Municipality,118143,118818,236961,1004,893,1897,,,,119147,119711,238858,6
MALINDI,Malindi/Kilifi,Municipality,41911,42239,84150,17281,16834,34115,43887,45101,88988,103079,104174,207253,7
NAIVASHA,Naivasha,Municipality,45253,46740,91993,39604,37545,77149,6514,6310,12824,91371,90595,181966,8
KITUI,Kitui,Municipality,10338,10081,20419,43321,45828,89149,22082,24246,46328,75741,80155,155896,9
MACHAKOS,Machakos,Municipality,20448,21469,41917,53846,54278,108124,,,,74294,75747,150041,10
THIKA,Thika West/Gatanga,Municipality,68254,68322,136576,154,187,341,1289,1647,2936,69697,70156,139853,11
MAVOKO,Machakos,Municipality,59393,51003,110396,15463,11352,26815,1200,969,2169,76056,63324,139380,12
NYERI,Nyeri North/South,Municipality,31885,31741,63626,27677,28050,55727,3086,2918,6004,62648,62709,125357,13
VIHIGA,Vihiga,Municipality,17608,18790,36398,39199,43099,82298,,,,56807,61889,118696,14
MUMIAS,Mumias,Municipality,19446,19514,38960,29454,31573,61027,7883,8488,16371,56783,59575,116358,15
